Index|Word|Definition|Grouping
472|Atrophy|To Wither Or Waste Away|Verb

473|Attache|An Official Associated With An Embassy|Noun

474|Attain|To Accomplish, To Achieve|Verb

475|Attainment|The Act Of Arriving At Or Reaching|Noun

476|Attenuate|To Reduce In Size, Force, Value, Amount, Or Degree|Verb

477|Attest|To Affirm To Be Correct, True, Or Genuine|Verb

478|Attribute|To Ascribe (Something) To A Given Cause, Reason Etc|Verb

479|Attrition|Wearing Or Grinding Down By Friction|Noun

480|Atypical|Not Conforming To The Normal Type|Adjective

481|Auburn|Of A Reddish-Brown Colour|Adjective

482|Audacious|Showing Willingness To Take Bold Risks, Recklessly Daring|Adjective

483|Audible|Capable Of Being Heard|Adjective

484|Audit|An Official Verification Of Records, Especially Financial|Noun

485|Audition|A Trial To Test A Performer'S Suitability For Something|Noun

486|Auditor|A Person Appointed To Examine Accounting Records|Noun

487|Auditory|Of, Or Relating To Hearing|Adjective

488|Augment|To Make Bigger|Verb

489|Augur|To Foretell Events, To Exhibit Signs Of Future Events|Verb

490|Augury|A Divination Based On The Behaviour Of Animals|Noun

491|August|Inspiring Reverence Or Admiration, Majestic|Adjective

492|Augustinian|Pertaining To St. Augustine Of Hippo|Noun

493|Aura|Distinctive Atmosphere Or Quality Associated With Something|Noun

494|Aural|Of Or Pertaining To The Ear|Adjective

495|Aureole|Any Encircling Ring Of Light, Halo|Noun

496|Auricle|The Outer Ear Or Pinna|Noun

497|Auriferous|Containing Or Producing Gold, Gold-Bearing|Adjective

498|Aurora|An Atmospheric Phenomenon Creating Bands Of Light In The Sky|Noun

499|Auroral|Pertaining To The Dawn|Adjective

500|Auspice|Patronage Or Protection|Noun

501|Austere|Severe Or Strict In Manner, Attitude, Or Appearance|Adjective

502|Autarchy|A Condition Of Absolute Power|Noun

503|Authentic|Of The Same Origin As Claimed, Genuine|Adjective

504|Authoritarian|Of, Or Relating To, Absolute Obedience To An Authority|Adjective

505|Autobiography|A Self-Written Biography, The Story Of One'S Own Life|Noun

506|Autocracy|A Form Of Government In Which One Individual Holds All Power|Noun

507|Autocrat|An Absolute Ruler With Infinite Power|Noun

508|Automaton|A Robot Designed To Follow A Sequence Of Instructions|Noun

509|Autopsy|A Post-Mortem Examination To Discover The Cause Of Death|Noun

510|Autumnal|Of Or Relating To Autumn|Adjective

511|Auxiliary|Helping, Giving Assistance Or Support|Adjective

512|Avalanche|A Large Mass Of Snow Sliding Suddenly Downward|Noun

513|Avant-Garde|Innovative, Pioneering, Especially When Obviously So|Adjective

514|Avarice|Greediness Over Wealth, Covetousness|Noun

515|Avatar|An Incarnation Or Manifestation Of A Person Or Idea|Noun

516|Avenge|To Vindicate By Inflicting Pain Or Evil On A Wrongdoer|Verb

517|Aver|To State Or Assert To Be The Case|Verb

518|Averse|To Turn Away|Verb

519|Avert|To Turn Aside Or Away|Verb

520|Aviary|An Enclosure For Keeping Birds Confined|Noun

521|Avid|Having Or Showing Keen Interest|Adjective

522|Avidity|Greediness, Strong Appetite|Noun

523|Avocation|A Calling Away, A Diversion|Noun

524|Avow|Assert Or Confess Openly|Verb

525|Avuncular|In The Manner Of An Uncle, Pertaining To An Uncle|Adjective

526|Awaken|To Cause To Become Awake|Verb

527|Awe|To Inspire Fear And Reverence|Verb

528|Awry|Crooked, Distorted, Out Of Place|Adjective

529|Axiom|A Self-Evident Truth Requiring No Proof|Noun

530|Aye|An Affirmative Vote, One Who Votes In The Affirmative|Noun

531|Azan|(Islam) The Call To Prayer Proclaimed Five Times A Day|Noun

532|Azure|A Light, Purplish Shade Of Blue|Adjective

533|Bacchanalian|Riotously Drunken|Adjective

534|Baconian|Of Or Pertaining To The Philosopher Francis Bacon|Adjective

535|Bacterium|A Single Celled Organism With No Nucleus|Noun

536|Badger|To Pester, To Annoy Persistently|Verb

537|Badinage|Playful Raillery, Banter|Noun

538|Baffle|Totally Bewilder, Confuse Or Perplex|Verb

539|Bailiff|A Legal Officer, Similar To A Sheriff Or Deputy|Noun

540|Baize|A Woollen Fabric Resembling Felt|Noun

541|Bale|A Large, Wrapped Bundle Of Something (Ie, Cotton, Hay)|Noun

542|Baleful|Threatening Harm, Menacing|Adjective

543|Balk|To Pass Over Or By|Verb

544|Ballast|Any Heavy Material Used To Stabilize A Ship|Noun

545|Balsam|A Sweet-Smelling Oil Or Resin Derived From Various Plants|Noun

546|Banal|So Lacking In Originality As To Be Obvious And Boring|Adjective

547|Bandy|To Give And Receive Reciprocally, To Exchange|Verb

548|Bane|A Cause Of Great Distress Or Annoyance|Noun

549|Banter|The Playful And Friendly Exchange Of Teasing Remarks|Noun

550|Bar|Except Fro, Apart From|Preposition

551|Barb|A Sharp Projection Near The End Of An Arrow Or Similar Item|Noun

552|Barcarole|A Venetian Folk Song Traditionally Sung By Gondoliers|Noun

553|Bard|A Poet, Often One Who Plays An Instrument|Noun

554|Baritone|The Male Voice Between Tenor And Bass|Noun

555|Barograph|A Recording Aneroid Barometer|Noun

556|Barometer|An Instrument For Measuring Atmospheric Pressure|Noun

557|Barrage|To Bombard Someone With Something|Verb

558|Barren|Empty, Vacant|Adjective

559|Barrister|A Lawyer Who Pleads In Court|Noun

560|Barterer|One Who Trades Goods For Other Goods Without Involving Money|Noun

561|Bashful|Shy, Inclined To Avoid Notice|Adjective

562|Bask|To Revel In, To Lie Exposed To Warmth And Light|Verb

563|Bass|Of Sound Which Is Low In Pitch Or Frequency|Adjective

564|Baste|To Sew With Long, Loose Stitches|Verb

565|Bastion|A Projecting Part Of A Rampart Or Other Fortification|Noun

566|Bathos|Depth, Bottom|Noun

567|Baton|A Short Stick Or Staff Used To Conduct|Noun

568|Battalion|A Large Body Of Troop Ready For Battle|Noun

569|Batten|To Become Better, Improve In Condition|Verb

570|Battery|A Fortified Emplacement For Heavy Guns|Noun

571|Bauble|A Cheap Showy Ornament Piece Of Jewellery, A Gewgaw|Noun

572|Bawdy|Soiled, Dirty|Adjective

573|Bawl|To Shout Or Utter In A Loud And Intense Manner|Verb

574|Beam|To Emit Beams Of Light, Shine, Radiate,|Verb

575|Beatific|Blessed, Blissful, Heavenly|Adjective

576|Beatify|To Make Blissful|Verb

577|Beatitude|Supreme, Utmost Bliss And Happiness|Noun

578|Beau|A Frequent Or Attentive Male Companion|Noun

579|Becalm|To Make Calm Or Still, Make Quiet, Calm|Verb

580|Beck|A Stream Or Small River|Noun

581|Bedaub|To Smear Upon, To Soil|Verb

582|Bedeck|To Deck, Ornament, Or Adorn, To Grace|Verb

583|Bedlam|A Place Or Situation Of Chaotic Uproar|Noun

584|Bedraggle|To Make Something Wet And Limp|Verb

585|Befog|To Envelop In Fog|Verb

586|Befriend|To Make A Friend Of|Verb

587|Befuddle|To Perplex Or Confuse (Someone)|Verb

588|Beget|To Cause, To Produce|Verb

589|Begrudge|To Be Reluctant|Verb

590|Beguile|To Deceive Or Delude Craftily|Verb

591|Behemoth|A Huge Or Monstrous Creature|Noun

592|Behest|To Promise, Vow|Verb

593|Belabor|To Work At Something More Than Necessary|Verb

594|Belay|To Surround, Environ, Enclose|Verb

595|Beleaguer|To Lay Siege To|Verb

596|Belie|To Lie Around, Encompass|Verb

597|Belle|An Attractive Woman|Noun

598|Bellicose|Demonstrating Aggression And Willingness To Fight|Adjective

599|Belligerent|Hostile, Aggressive|Adjective

600|Bellwether|The Leading Sheep Of A Flock, Usually Wearing A Bell|Noun

601|Bemoan|To Complain About, To Dismay Or Worry About Something|Verb

602|Bemuse|To Confuse Or Bewilder|Verb

603|Benediction|The Utterance Or Bestowing Of A Blessing|Noun

604|Benefactor|Somebody Who Gives One A Gift|Noun

605|Benefice|To Bestow A Benefice Upon|Verb

606|Beneficial|Helpful Or Good To Something Or Someone|Adjective

607|Beneficiary|One Who Benefits Or Receives An Advantage|Noun

608|Benefit|To Be Or To Provide A Benefit To|Verb

609|Benevolent|Having A Disposition To Do Good|Adjective

610|Benign|Gentle, Kindly|Adjective

611|Benison|A Blessing, Benediction|Noun

612|Bent|Curved, Crooked|Adjective

613|Bequeath|To Pass Or To Leave Something Over To Someone Else|Verb

614|Berate|Scold, Chide|Verb

615|Bereave|To Deprive By Or As If By Violence, Rob, Strip|Verb

616|Bereft|Deprived|Adjective

617|Beret|A Type Of Round, Brimless Cap With A Soft Top And A Headband|Noun

618|Berserk|Furiously Violent Or Out Of Control|Adjective

619|Berth|To Bring (A Ship Or Vehicle) Into Its Berth|Verb

620|Beseech|To Beg Or Implore|Verb

621|Beset|To Surround Or Hem In|Verb

622|Besmear|To Smear Over, Sully|Verb

623|Besmirch|To Make Dirty, To Soil|Verb

624|Bestial|Beast-Like|Adjective

625|Bestow|To Lay Up In Store, Deposit For Safe Keeping, Stow, Place|Verb

626|Bestrew|To Strew Or Scatter About, Throw Or Drop Here And There|Verb

627|Bestride|To Be Astride Something|Verb

628|Bete Noire|Something Especially Disliked Or Dreaded|Noun

629|Bethink|To Think About, To Recollect|Verb

630|Betide|To Happen To|Verb

631|Betimes|Before The Usual Or Expected Time|Adv

632|Betroth|To Promise To Give In Marriage|Verb

633|Bevel|To Give A Canted Edge To A Surface|Verb

634|Bewilder|To Cause Someone To Become Perplexed And Confused|Verb

635|Bibliography|A Section Of A Written Work With Citations To All References|Noun

636|Bibliomania|The Obsession Of Owning Valuable Books|Noun

637|Bibliophile|One Who Loves Books|Noun

638|Bibulous|Very Absorbent|Adjective

639|Bicameral|Pertaining To, Two Separate Legislative Chambers Or Houses|Adjective

640|Bicker|To Quarrel In A Tiresome, Insulting Manner|Verb

641|Bide|(Chiefly Dialectal) To Bear, To Endure, To Tolerate|Verb

642|Biennial|Happening Every Two Years|Adjective

643|Bier|A Litter To Transport The Corpse Of A Dead Person|Noun

644|Bifurcate|To Divide Or Fork Into Two Channels Or Branches|Verb

645|Bigamy|The State Of Having Two Spouses Simultaneously|Noun

646|Bight|A Corner, Bend, Or Angle|Noun

647|Bigot|A Person Utterly Intolerant Of Any Differing Opinion|Noun

648|Bilateral|Having Two Sides|Adjective

649|Bilge|The Widest Circumference Or Belly Of A Cask|Noun

650|Bilingual|Fluent In Two Languages|Adjective

651|Bilious|Peevish, Irritable|Adjective

652|Bilk|To Obtain Money Fraudulently|Verb

653|Billow|Present Participle Of Billow|Verb

654|Biography|A Written Account Of Another Person'S Life|Noun

655|Biped|An Animal, Or Being That Goes About On Two Feet Or Legs|Noun

656|Birthright|Something Owed Since Birth, Due To Inheritance|Noun

657|Bitterness|The Quality Of Having A Bitter Taste|Noun

658|Bivouac|To Set Up Camp|Verb

659|Bizarre|Strangely Unconventional In Style Or Appearance|Adjective

660|Blanch|To Grow Or Become White|Verb

661|Bland|Mild, Soft, Gentle|Adjective

662|Blandish|To Persuade Someone By Using Flattery, To Cajole|Verb

663|Blare|To Make A Loud Sound|Verb

664|Blasé|Uninterested Because Of Frequent Exposure Or Indulgence|Adjective

665|Blaspheme|To Speak Against God Or Religious Doctrine|Verb

666|Blatant|Obvious|Adjective

667|Blaze|A Bright Flame Or Fire|Noun

668|Blazon|To Describe A Coat Of Arms|Verb

669|Bleak|Bare, Desolate|Adjective

670|Blemish|Spoil The Appearance Of|Verb

671|Blight|To Suffer Blight|Verb

672|Blithe|Showing A Casual Indifference Which Is Callous Or Improper|Adjective

673|Blithesome|Happy Or Spriteful, Carefree|Adjective

674|Bloated|Swollen, Puffed Up|Adjective

675|Blockade|An Obstruction Of Passage Or Progress|Noun

676|Bluff|To Mislead By A Display Of Self-Confidence Or Strength|Verb

677|Blunder|To Make A Stupid Mistake|Verb

678|Blunderbuss|An Action Regarded As Lacking In Subtlety|Noun

679|Blurt|To Speak Quickly Or Without Thought|Verb

680|Boatswain|An Officer On A Vessel, In Charge Of Rigging, Cables, Etc|Noun

681|Bode|To Indicate By Signs, As Future Events|Verb

682|Bodice|The Part Of A Woman'S Dress Covering Between Neck And Waist|Noun

683|Bodily|Of, Relating To, Or Concerning The Body|Adjective

684|Bogus|Counterfeit Or Fake, Not Genuine|Adjective

685|Boisterous|Noisy, Energetic, Rowdy|Adjective

686|Bole|The Trunk Or Stem Of A Tree|Noun

687|Bolero|A Lively Spanish Dance|Noun

688|Boll|The Rounded Seed-Bearing Capsule Of A Cotton Or Flax Plant|Noun

689|Bolster|To Support Or Strengthen|Verb

690|Bomb|To Attack Using One Or More Bombs, To Bombard|Verb

691|Bombard|To Attack Something With Bombs Or Other Missiles|Verb

692|Bombardier|A Bomber Crew Member Who Sights And Releases Bombs|Noun

693|Bombast|High-Sounding Language With Little Meaning|Noun

694|Bombastic|Ostentatiously Lofty In Style|Adjective

695|Bon Mot|A Witty Remark Or Comment, Clever Saying, Witticism|Adjective

696|Bona Fide|Genuine, Real|Adjective

697|Bondage|The State Of Being Enslaved Or The Practice Of Slavery|Noun

698|Booming|Having A Great Period Of Prosperity|Adjective

699|Boon|A Thing That Is Helpful Or Beneficial|Noun

700|Boor|A Rude, Unmannerly Person|Noun

701|Borough|A Fortified Town, A Town Or City|Noun

702|Bosom|In A Very Close Relationship|Adjective

703|Botanize|To Study Plants Or Plant Life|Verb

704|Botany|The Scientific Study Of Plants, A Branch Of Biology|Noun

705|Bountiful|Having A Quantity Or Amount That Is Generous Or Plentiful|Adjective

706|Bourgeois|A Member Of The Middle Class|Noun

707|Bovine|Of, Relating To, Or Affecting Cattle|Adjective

708|Bowdlerize|To Remove Those Parts Of A Text Considered Offensive, Vulgar|Verb

709|Bowler|One Who Engages In The Sport Of Bowling|Noun

710|Boycott|To Abstain, Either As An Individual Or Group|Verb

711|Brackish|Salty Or Slightly Salty, As A Mixture Of Fresh And Sea Water|Adjective

712|Brae|The Sloping Bank Of A River-Valley, Any Slope Or Hillside|Noun

713|Braggart|Someone Who Boasts|Noun

714|Brandish|To Move Or Swing A Weapon Back And Forth|Verb

715|Brash|Impetuous Or Rash|Adjective

716|Bravado|A Swaggering Show Of Defiance Or Courage|Noun

717|Brawn|Strong, Well-Developed Muscles|Noun

718|Bray|Of A Donkey, To Make It Cry|Verb

719|Braze|The Joining Together Of Two Metal Pieces Without Melting|Verb

720|Brazen|Bold And Without Shame|Adjective

721|Brazier|A Barbecue|Noun

722|Breach|An Act Of Breaking A Law, Agreement Or Code Of Conduct|Noun

723|Breadth|The Extent Or Measure Of How Broad Or Wide Something Is|Noun

724|Breaker|Something That Breaks|Noun

725|Breech|The Lower, Rear Trunk Of The Body|Noun

726|Brethren|Fellow Members|Noun

727|Brevity|Concise And Exact Use Of Words In Writing Or Speech|

728|Bric-A-Brac|Small Ornaments, Other Miscellaneous Items Of Little Value|Noun

729|Bridle|Part Of The Harness Of A Horse, Consisting Of Bit And Reins|Noun

730|Brigade|To Form Troops Into A Brigade|Verb

731|Brigadier|An Army Rank, An Officer Commanding A Brigade|Noun

732|Brigand|An Outlaw Or Bandit|Noun

733|Brimstone|About Or Pertaining To Hell|Adjective

734|Brindled|Of A Brownish, Tawny Or Gray Colour, With Streaks Or Spots|Adjective

735|Brine|To Preserve Food In A Salt Solution|Verb

736|Bristle|To Be On One'S Guard Or Raise One'S Defenses|Verb

737|Britannia|The Ancient Roman Name For Great Britain|Noun

738|Briticism|An Idiom Used In Britain But Not In Other Eng-Speaking Areas|Noun

739|Brittle|Liable To Break Or Snap Easily Under Stress Or Pressure|Adjective

740|Broach|To Mention Or Suggest For The First Time|Verb

741|Broadcast|To Transmit A Message Or Signal Via Electronic Means|Verb

742|Brogan|A Heavy Working Shoe, A Brogue|Noun

743|Brogue|To Speak With An Accent|Verb

744|Brokerage|A Company Whose Business Is To Act As A Broker|Noun

745|Bromide|A Binary Compound Of Bromine And Some Other Element|Noun

746|Bromine|A Non-Metallic Chemical Element, One Of The Halogens|Noun

747|Bronchitis|An Inflammation Of The Bronchi Of The Lungs|Noun

748|Bronchus|The Primary Branches Of The Trachea, Leading Into The Lungs|Noun

749|Brooch|WomenS Jewellery Having A Pin To Be Fixed To Garments|Noun

750|Brotherhood|The State Of Being Brothers Or A Brother|Noun

751|Brouhaha|A Stir, A Fuss Or Uproar|Noun

752|Browbeat|To Bully In An Intimidating, Bossy, Or Supercilious Way|Verb

753|Browse|To Casually Look Through In Order To Find Items Of Interest|Verb

754|Bruit|To Spread, Promulgate Or Disseminate A Rumour, News Etc|Verb

755|Brunt|The Chief Consequences Or Negative Results Of Something|Noun

756|Brusque|Rudely Abrupt, Unfriendly|Adjective

757|Bucolic|A Pastoral Poem|Noun

758|Buffet|A Blow, Typically With The Hand Or Fist|Noun

759|Buffoon|To Behave Like A Buffoon|Verb

760|Bulbous|Having The Shape Of Or Resembling A Bulb, Bloated|Adjective

761|Bullion|A Bulk Quantity Of Precious Metal, Usually Gold Or Silver|Noun

762|Bullock|A Castrated Bull|Noun

763|Bulrush|Any Of Several Wetland Herbs|Noun

764|Bulwark|To Fortify Something With A Wall Or Rampart|Verb

765|Bumptious|Obtrusively Pushy, Self-Assertive To A Pretentious Extreme|Adjective

766|Bungalow|A Small House Or Cottage Usually Having A Single Story|Noun

767|Bungle|To Botch Up, Bumble Or Incompetently Perform A Task|Verb

768|Buoyant|Having Buoyancy, Able To Float|Adjective

769|Bureau|Office|Noun

770|Bureaucracy|Structure And Regulations In Place To Control Activity|Noun

771|Burgeon|Begin To Grow Or Increase Rapidly|Verb

772|Burgess|An Inhabitant Of A Borough With Full Rights, A Citizen|Noun

773|Burgher|A Citizen, Especially One Belonging To Middle Class|Noun

774|Burlesque|To Make A Burlesque Parody Of|Verb

775|Burly|Large, Well-Built, And Muscular|Adjective

776|Burnish|To Make Smooth Or Shiny By Rubbing, To Polish, To Shine|Verb

777|Bursar|The Treasurer Of A University, College Or School|Noun

778|Bustle|To Move Busily And Energetically With Fussiness|Verb

779|Butte|An Isolated Hill With Steep Sides And A Flat Top|Noun

780|Buttress|To Provide A Structure With Projecting Supports|Verb

781|Buxom|Having A Voluptuous Figure, Especially Having Large Breasts|Adjective

782|Bylaw|A Rule Governing A Corporation Or Society'S Internal Affairs|Noun
